顧客ID,年齢,性別,年収,購入回数,満足度,会員ランク,登録年月,最終購入日
1001,28,女性,4500000,8,4,シルバー,2022-03,2023-12-15
1002,35,男性,6200000,12,5,ゴールド,2021-07,2023-12-20
1003,42,女性,5800000,6,3,シルバー,2022-11,2023-11-28
1004,29,男性,4200000,4,4,ブロンズ,2023-01,2023-12-10
1005,51,女性,7500000,15,5,プラチナ,2020-05,2023-12-22
1006,33,男性,5100000,9,4,ゴールド,2021-12,2023-12-18
1007,26,女性,3800000,3,3,ブロンズ,2023-02,2023-10-15
1008,44,男性,6800000,11,5,ゴールド,2021-03,2023-12-19
1009,37,女性,5500000,7,4,シルバー,2022-06,2023-11-30
1010,31,男性,4700000,5,3,ブロンズ,2022-09,2023-12-05
1011,48,女性,7200000,13,5,プラチナ,2020-08,2023-12-21
1012,25,男性,3600000,2,2,ブロンズ,2023-04,2023-09-20
1013,39,女性,6100000,10,4,ゴールド,2021-10,2023-12-17
1014,52,男性,8200000,18,5,プラチナ,2019-12,2023-12-23
1015,30,女性,4900000,6,4,シルバー,2022-08,2023-12-12
1016,27,男性,4100000,4,3,ブロンズ,2023-01,2023-11-25
1017,45,女性,6900000,12,5,ゴールド,2021-04,2023-12-20
1018,34,男性,5300000,8,4,シルバー,2022-05,2023-12-14
1019,41,女性,6500000,9,4,ゴールド,2021-09,2023-12-16
1020,29,男性,4400000,5,3,ブロンズ,2022-12,2023-12-08
1021,36,女性,5700000,7,4,シルバー,2022-07,2023-12-11
1022,49,男性,7800000,16,5,プラチナ,2020-02,2023-12-24
1023,32,女性,5200000,6,4,シルバー,2022-10,2023-12-13
1024,28,男性,4300000,3,3,ブロンズ,2023-03,2023-10-30
1025,43,女性,6600000,11,5,ゴールド,2021-06,2023-12-19