回答者ID,年代,職業,サービス満足度,価格満足度,利用頻度,推奨度,居住地域,利用期間
1,20代,会社員,4,3,週数回,4,東京,1年以上
2,30代,公務員,5,4,毎日,5,大阪,2年以上
3,40代,自営業,3,2,月数回,3,名古屋,6ヶ月以上
4,20代,学生,4,4,週1回,4,福岡,3ヶ月以上
5,50代,会社員,5,3,週数回,5,東京,2年以上
6,30代,主婦,3,3,月1回,3,大阪,1年以上
7,40代,会社員,4,4,週数回,4,名古屋,1年以上
8,20代,その他,2,2,それ以下,2,福岡,3ヶ月未満
9,60代以上,公務員,5,4,毎日,5,東京,3年以上
10,30代,自営業,4,3,週1回,4,大阪,1年以上
11,50代,会社員,3,3,月数回,3,名古屋,6ヶ月以上
12,20代,学生,4,4,週数回,4,福岡,6ヶ月以上
13,40代,主婦,5,4,週1回,5,東京,2年以上
14,30代,会社員,3,2,月1回,3,大阪,1年以上
15,50代,公務員,4,4,週数回,4,名古屋,2年以上
16,20代,その他,2,1,それ以下,2,福岡,3ヶ月未満
17,60代以上,自営業,5,5,毎日,5,東京,3年以上
18,30代,会社員,4,3,週1回,4,大阪,1年以上
19,40代,主婦,3,3,月数回,3,名古屋,6ヶ月以上
20,20代,学生,4,4,週数回,4,福岡,6ヶ月以上
21,50代,会社員,5,4,週数回,5,東京,2年以上
22,30代,公務員,3,3,月1回,3,大阪,1年以上
23,40代,自営業,4,3,週1回,4,名古屋,1年以上
24,20代,その他,2,2,それ以下,2,福岡,3ヶ月未満
25,60代以上,会社員,5,4,毎日,5,東京,3年以上
26,30代,主婦,4,4,週数回,4,大阪,1年以上
27,50代,公務員,3,2,月数回,3,名古屋,6ヶ月以上
28,20代,学生,4,4,週1回,4,福岡,6ヶ月以上
29,40代,自営業,5,5,週数回,5,東京,2年以上
30,30代,会社員,3,3,月1回,3,大阪,1年以上